county,candidate,party,office,district,votes
Noble,Shane Thompson,Republican,Ohio Senate,30,3306
Vinton,Lou Gentile,Democratic,Ohio Senate,30,931
Vinton,Shane Thompson,Republican,Ohio Senate,30,975
Washington,Lou Gentile,Democratic,Ohio Senate,30,10993
Washington,Shane Thompson,Republican,Ohio Senate,30,16920
Ashtabula,Capri Cafaro,Democratic,Ohio Senate,32,25781
Ashtabula,Nancy McArthur,Republican,Ohio Senate,32,15891
Geauga,Capri Cafaro,Democratic,Ohio Senate,32,3741
Geauga,Nancy McArthur,Republican,Ohio Senate,32,5690
Trumbull,Capri Cafaro,Democratic,Ohio Senate,32,69977
Trumbull,Nancy McArthur,Republican,Ohio Senate,32,27100
