county,candidate,party,office,discrict,votes
Miami,Sherrod Brown,Democratic,U.S. Senate,,15968
Miami,Josh Mandel,Republican,U.S. Senate,,32866
Miami,Scott Rupert ,Independent ,U.S. Senate,,2156
Monroe,Sherrod Brown,Democratic,U.S. Senate,,3274
Monroe,Josh Mandel,Republican,U.S. Senate,,3114
Monroe,Scott Rupert ,Independent ,U.S. Senate,,292
Montgomery,Sherrod Brown,Democratic,U.S. Senate,,135210
Montgomery,Josh Mandel,Republican,U.S. Senate,,116345
Montgomery,Scott Rupert ,Independent ,U.S. Senate,,9615
Morgan,Sherrod Brown,Democratic,U.S. Senate,,2625
Morgan,Josh Mandel,Republican,U.S. Senate,,3065
Morgan,Scott Rupert ,Independent ,U.S. Senate,,337
Morrow,Sherrod Brown,Democratic,U.S. Senate,,5511
Morrow,Josh Mandel,Republican,U.S. Senate,,9414
Morrow,Scott Rupert ,Independent ,U.S. Senate,,1111
Muskingum,Sherrod Brown,Democratic,U.S. Senate,,15592
Muskingum,Josh Mandel,Republican,U.S. Senate,,18748
Muskingum,Scott Rupert ,Independent ,U.S. Senate,,2257
Noble,Sherrod Brown,Democratic,U.S. Senate,,2127
Noble,Josh Mandel,Republican,U.S. Senate,,3311
Noble,Scott Rupert ,Independent ,U.S. Senate,,362
Ottawa,Sherrod Brown,Democratic,U.S. Senate,,11291
Ottawa,Josh Mandel,Republican,U.S. Senate,,9872
Ottawa,Scott Rupert ,Independent ,U.S. Senate,,1115
Paulding,Sherrod Brown,Democratic,U.S. Senate,,3277
Paulding,Josh Mandel,Republican,U.S. Senate,,5147
Paulding,Scott Rupert ,Independent ,U.S. Senate,,528
Perry,Sherrod Brown,Democratic,U.S. Senate,,6734
Perry,Josh Mandel,Republican,U.S. Senate,,7240
Perry,Scott Rupert ,Independent ,U.S. Senate,,897
Pickaway,Sherrod Brown,Democratic,U.S. Senate,,9344
Pickaway,Josh Mandel,Republican,U.S. Senate,,13177
Pickaway,Scott Rupert ,Independent ,U.S. Senate,,1337
Pike,Sherrod Brown,Democratic,U.S. Senate,,5751
Pike,Josh Mandel,Republican,U.S. Senate,,5117
Pike,Scott Rupert ,Independent ,U.S. Senate,,561
Portage,Sherrod Brown,Democratic,U.S. Senate,,37144
Portage,Josh Mandel,Republican,U.S. Senate,,32531
Portage,Scott Rupert ,Independent ,U.S. Senate,,4506
Preble,Sherrod Brown,Democratic,U.S. Senate,,6045
Preble,Josh Mandel,Republican,U.S. Senate,,12820
Preble,Scott Rupert ,Independent ,U.S. Senate,,1076
Putnam,Sherrod Brown,Democratic,U.S. Senate,,4584
Putnam,Josh Mandel,Republican,U.S. Senate,,12899
Putnam,Scott Rupert ,Independent ,U.S. Senate,,722
Richland,Sherrod Brown,Democratic,U.S. Senate,,23758
Richland,Josh Mandel,Republican,U.S. Senate,,30696
Richland,Scott Rupert ,Independent ,U.S. Senate,,2742
Ross,Sherrod Brown,Democratic,U.S. Senate,,14147
Ross,Josh Mandel,Republican,U.S. Senate,,14059
Ross,Scott Rupert ,Independent ,U.S. Senate,,1629
Sandusky,Sherrod Brown,Democratic,U.S. Senate,,13606
Sandusky,Josh Mandel,Republican,U.S. Senate,,13280
Sandusky,Scott Rupert ,Independent ,U.S. Senate,,1770
Scioto,Sherrod Brown,Democratic,U.S. Senate,,15116
Scioto,Josh Mandel,Republican,U.S. Senate,,12958
Scioto,Scott Rupert ,Independent ,U.S. Senate,,1329
Seneca,Sherrod Brown,Democratic,U.S. Senate,,10525
Seneca,Josh Mandel,Republican,U.S. Senate,,12802
Seneca,Scott Rupert ,Independent ,U.S. Senate,,1703
Shelby,Sherrod Brown,Democratic,U.S. Senate,,6045
Shelby,Josh Mandel,Republican,U.S. Senate,,16087
Shelby,Scott Rupert ,Independent ,U.S. Senate,,1107
Stark,Sherrod Brown,Democratic,U.S. Senate,,87493
Stark,Josh Mandel,Republican,U.S. Senate,,78708
Stark,Scott Rupert ,Independent ,U.S. Senate,,10926
Summit,Sherrod Brown,Democratic,U.S. Senate,,151198
Summit,Josh Mandel,Republican,U.S. Senate,,98442
Summit,Scott Rupert ,Independent ,U.S. Senate,,12541
Trumbull,Sherrod Brown,Democratic,U.S. Senate,,62386
Trumbull,Josh Mandel,Republican,U.S. Senate,,32066
Trumbull,Scott Rupert ,Independent ,U.S. Senate,,5195
Tuscarawas,Sherrod Brown,Democratic,U.S. Senate,,17940
Tuscarawas,Josh Mandel,Republican,U.S. Senate,,19946
Tuscarawas,Scott Rupert ,Independent ,U.S. Senate,,2598
Union,Sherrod Brown,Democratic,U.S. Senate,,8144
Union,Josh Mandel,Republican,U.S. Senate,,15553
Union,Scott Rupert ,Independent ,U.S. Senate,,1369
Van Wert,Sherrod Brown,Democratic,U.S. Senate,,3630
Van Wert,Josh Mandel,Republican,U.S. Senate,,9401
Van Wert,Scott Rupert ,Independent ,U.S. Senate,,598
Vinton,Sherrod Brown,Democratic,U.S. Senate,,2414
Vinton,Josh Mandel,Republican,U.S. Senate,,2679
Vinton,Scott Rupert ,Independent ,U.S. Senate,,304
Warren,Sherrod Brown,Democratic,U.S. Senate,,33787
Warren,Josh Mandel,Republican,U.S. Senate,,70755
Warren,Scott Rupert ,Independent ,U.S. Senate,,4528
Washington,Sherrod Brown,Democratic,U.S. Senate,,11464
Washington,Josh Mandel,Republican,U.S. Senate,,15904
Washington,Scott Rupert ,Independent ,U.S. Senate,,1438
Wayne,Sherrod Brown,Democratic,U.S. Senate,,19072
Wayne,Josh Mandel,Republican,U.S. Senate,,28138
Wayne,Scott Rupert ,Independent ,U.S. Senate,,2906
Williams,Sherrod Brown,Democratic,U.S. Senate,,6640
Williams,Josh Mandel,Republican,U.S. Senate,,9294
Williams,Scott Rupert ,Independent ,U.S. Senate,,1177
Wood,Sherrod Brown,Democratic,U.S. Senate,,31633
Wood,Josh Mandel,Republican,U.S. Senate,,27905
Wood,Scott Rupert ,Independent ,U.S. Senate,,2985
Wyandot,Sherrod Brown,Democratic,U.S. Senate,,3728
Wyandot,Josh Mandel,Republican,U.S. Senate,,6074
Wyandot,Scott Rupert ,Independent ,U.S. Senate,,627
