county,candidate,votes,district,party,office
Henry,John Eastman,273,,,Governor
Highland,John Eastman,522,,,Governor
Hocking,John Eastman,525,,,Governor
Holmes,John Eastman,211,,,Governor
Huron,John Eastman,528,,,Governor
Jackson,John Eastman,455,,,Governor
Jefferson,John Eastman,914,,,Governor
Knox,John Eastman,777,,,Governor
Lake,John Eastman,1751,,,Governor
Lawrence,John Eastman,533,,,Governor
Licking,John Eastman,2401,,,Governor
Logan,John Eastman,691,,,Governor
Lorain,John Eastman,2525,,,Governor
Lucas,John Eastman,3263,,,Governor
Madison,John Eastman,647,,,Governor
Mahoning,John Eastman,3617,,,Governor
Marion,John Eastman,1006,,,Governor
Medina,John Eastman,1614,,,Governor
Meigs,John Eastman,403,,,Governor
Mercer,John Eastman,595,,,Governor
Miami,John Eastman,1531,,,Governor
Monroe,John Eastman,182,,,Governor
Montgomery,John Eastman,5786,,,Governor
Morgan,John Eastman,281,,,Governor
Morrow,John Eastman,681,,,Governor
Muskingum,John Eastman,1162,,,Governor
Noble,John Eastman,217,,,Governor
Ottawa,John Eastman,469,,,Governor
Paulding,John Eastman,256,,,Governor
Perry,John Eastman,540,,,Governor
Pickaway,John Eastman,676,,,Governor
Pike,John Eastman,284,,,Governor
Portage,John Eastman,1933,,,Governor
Preble,John Eastman,700,,,Governor
Putnam,John Eastman,620,,,Governor
Richland,John Eastman,1327,,,Governor
Ross,John Eastman,725,,,Governor
Sandusky,John Eastman,696,,,Governor
Scioto,John Eastman,817,,,Governor
Seneca,John Eastman,735,,,Governor
Shelby,John Eastman,769,,,Governor
Stark,John Eastman,4709,,,Governor
Summit,John Eastman,5965,,,Governor
Trumbull,John Eastman,2612,,,Governor
Tuscarawas,John Eastman,993,,,Governor
Union,John Eastman,762,,,Governor
Van Wert,John Eastman,400,,,Governor
Vinton,John Eastman,210,,,Governor
Warren,John Eastman,1945,,,Governor
Washington,John Eastman,728,,,Governor
Wayne,John Eastman,1113,,,Governor
Williams,John Eastman,492,,,Governor
Wood,John Eastman,1189,,,Governor
Wyandot,John Eastman,291,,,Governor
Adams,Timothy Hagan,2177,,D,Governor
Allen,Timothy Hagan,8581,,D,Governor
Ashland,Timothy Hagan,4607,,D,Governor
Ashtabula,Timothy Hagan,11472,,D,Governor
Athens,Timothy Hagan,8408,,D,Governor
Auglaize,Timothy Hagan,3096,,D,Governor
Belmont,Timothy Hagan,9492,,D,Governor
Brown,Timothy Hagan,3181,,D,Governor
Butler,Timothy Hagan,20896,,D,Governor
Carroll,Timothy Hagan,3104,,D,Governor
Champaign,Timothy Hagan,2880,,D,Governor
Clark,Timothy Hagan,12398,,D,Governor
Clermont,Timothy Hagan,9073,,D,Governor
Clinton,Timothy Hagan,2463,,D,Governor
Columbiana,Timothy Hagan,11419,,D,Governor
Coshocton,Timothy Hagan,2948,,D,Governor
Crawford,Timothy Hagan,3859,,D,Governor
Cuyahoga,Timothy Hagan,225582,,D,Governor
Darke,Timothy Hagan,4216,,D,Governor
Defiance,Timothy Hagan,3225,,D,Governor
Delaware,Timothy Hagan,9226,,D,Governor
Erie,Timothy Hagan,10673,,D,Governor
Fairfield,Timothy Hagan,10531,,D,Governor
Fayette,Timothy Hagan,1807,,D,Governor
Franklin,Timothy Hagan,108778,,D,Governor
Fulton,Timothy Hagan,2995,,D,Governor
Gallia,Timothy Hagan,2759,,D,Governor
Geauga,Timothy Hagan,11458,,D,Governor
Greene,Timothy Hagan,11780,,D,Governor
Guernsey,Timothy Hagan,4042,,D,Governor
Hamilton,Timothy Hagan,73843,,D,Governor
Hancock,Timothy Hagan,4151,,D,Governor
Hardin,Timothy Hagan,2829,,D,Governor
Harrison,Timothy Hagan,2327,,D,Governor
Henry,Timothy Hagan,2069,,D,Governor
Highland,Timothy Hagan,2992,,D,Governor
Hocking,Timothy Hagan,2881,,D,Governor
Holmes,Timothy Hagan,1429,,D,Governor
Huron,Timothy Hagan,4673,,D,Governor
Jackson,Timothy Hagan,2893,,D,Governor
Jefferson,Timothy Hagan,9206,,D,Governor
Knox,Timothy Hagan,4166,,D,Governor
Lake,Timothy Hagan,27370,,D,Governor
Lawrence,Timothy Hagan,5495,,D,Governor
Licking,Timothy Hagan,12653,,D,Governor
Logan,Timothy Hagan,2891,,D,Governor
Lorain,Timothy Hagan,38515,,D,Governor
Lucas,Timothy Hagan,49648,,D,Governor
Madison,Timothy Hagan,2932,,D,Governor
Mahoning,Timothy Hagan,43110,,D,Governor
Marion,Timothy Hagan,5704,,D,Governor
Medina,Timothy Hagan,17998,,D,Governor
Meigs,Timothy Hagan,1970,,D,Governor
Mercer,Timothy Hagan,3237,,D,Governor
Miami,Timothy Hagan,7297,,D,Governor
Monroe,Timothy Hagan,2421,,D,Governor
Montgomery,Timothy Hagan,59584,,D,Governor
Morgan,Timothy Hagan,1378,,D,Governor
Morrow,Timothy Hagan,2799,,D,Governor
Muskingum,Timothy Hagan,6279,,D,Governor
Noble,Timothy Hagan,1628,,D,Governor
Ottawa,Timothy Hagan,5073,,D,Governor
Paulding,Timothy Hagan,1939,,D,Governor
Perry,Timothy Hagan,3422,,D,Governor
Pickaway,Timothy Hagan,3775,,D,Governor
Pike,Timothy Hagan,3377,,D,Governor
Portage,Timothy Hagan,19708,,D,Governor
Preble,Timothy Hagan,3112,,D,Governor
Putnam,Timothy Hagan,3110,,D,Governor
Richland,Timothy Hagan,13520,,D,Governor
Ross,Timothy Hagan,6714,,D,Governor
Sandusky,Timothy Hagan,6149,,D,Governor
Scioto,Timothy Hagan,8867,,D,Governor
Seneca,Timothy Hagan,4780,,D,Governor
Shelby,Timothy Hagan,3812,,D,Governor
Stark,Timothy Hagan,44840,,D,Governor
Summit,Timothy Hagan,77928,,D,Governor
Trumbull,Timothy Hagan,35364,,D,Governor
Tuscarawas,Timothy Hagan,10639,,D,Governor
Union,Timothy Hagan,2723,,D,Governor
Van Wert,Timothy Hagan,2085,,D,Governor
Vinton,Timothy Hagan,1448,,D,Governor
Warren,Timothy Hagan,9833,,D,Governor
Washington,Timothy Hagan,6045,,D,Governor
Wayne,Timothy Hagan,9061,,D,Governor
Williams,Timothy Hagan,2967,,D,Governor
Wood,Timothy Hagan,11521,,D,Governor
Wyandot,Timothy Hagan,1618,,D,Governor
Adams,Bob Taft,4296,,R,Governor
Allen,Bob Taft,19226,,R,Governor
Ashland,Bob Taft,9894,,R,Governor
Ashtabula,Bob Taft,14825,,R,Governor
Athens,Bob Taft,7018,,R,Governor
Auglaize,Bob Taft,9559,,R,Governor
Belmont,Bob Taft,10299,,R,Governor
Brown,Bob Taft,7881,,R,Governor
Butler,Bob Taft,62076,,R,Governor
Carroll,Bob Taft,5254,,R,Governor
Champaign,Bob Taft,7067,,R,Governor
Clark,Bob Taft,22846,,R,Governor
Clermont,Bob Taft,31723,,R,Governor
Clinton,Bob Taft,7321,,R,Governor
Columbiana,Bob Taft,18245,,R,Governor
Coshocton,Bob Taft,6881,,R,Governor
Crawford,Bob Taft,8676,,R,Governor
Cuyahoga,Bob Taft,142874,,R,Governor
Darke,Bob Taft,12310,,R,Governor
Defiance,Bob Taft,7049,,R,Governor
Delaware,Bob Taft,28200,,R,Governor
Erie,Bob Taft,13656,,R,Governor
Fairfield,Bob Taft,26256,,R,Governor
Fayette,Bob Taft,4385,,R,Governor
Franklin,Bob Taft,156712,,R,Governor
Fulton,Bob Taft,9600,,R,Governor
Gallia,Bob Taft,6057,,R,Governor
Geauga,Bob Taft,19768,,R,Governor
Greene,Bob Taft,28815,,R,Governor
Guernsey,Bob Taft,6348,,R,Governor
Hamilton,Bob Taft,160223,,R,Governor
Hancock,Bob Taft,15757,,R,Governor
Hardin,Bob Taft,5153,,R,Governor
Harrison,Bob Taft,3131,,R,Governor
Henry,Bob Taft,6814,,R,Governor
Highland,Bob Taft,7426,,R,Governor
Hocking,Bob Taft,4188,,R,Governor
Holmes,Bob Taft,4552,,R,Governor
Huron,Bob Taft,9993,,R,Governor
Jackson,Bob Taft,5531,,R,Governor
Jefferson,Bob Taft,12983,,R,Governor
Knox,Bob Taft,9291,,R,Governor
Lake,Bob Taft,37986,,R,Governor
Lawrence,Bob Taft,9458,,R,Governor
Licking,Bob Taft,32118,,R,Governor
Logan,Bob Taft,8996,,R,Governor
Lorain,Bob Taft,37423,,R,Governor
Lucas,Bob Taft,76572,,R,Governor
Madison,Bob Taft,6947,,R,Governor
Mahoning,Bob Taft,40149,,R,Governor
Marion,Bob Taft,10582,,R,Governor
Medina,Bob Taft,27436,,R,Governor
Meigs,Bob Taft,4517,,R,Governor
Mercer,Bob Taft,11001,,R,Governor
Miami,Bob Taft,20743,,R,Governor
Monroe,Bob Taft,2482,,R,Governor
Montgomery,Bob Taft,95891,,R,Governor
Morgan,Bob Taft,2975,,R,Governor
Morrow,Bob Taft,6093,,R,Governor
Muskingum,Bob Taft,14990,,R,Governor
Noble,Bob Taft,2438,,R,Governor
Ottawa,Bob Taft,9428,,R,Governor
Paulding,Bob Taft,3972,,R,Governor
Perry,Bob Taft,5102,,R,Governor
Pickaway,Bob Taft,7432,,R,Governor
Pike,Bob Taft,4046,,R,Governor
Portage,Bob Taft,19887,,R,Governor
Preble,Bob Taft,7832,,R,Governor
Putnam,Bob Taft,8592,,R,Governor
Richland,Bob Taft,21963,,R,Governor
Ross,Bob Taft,10871,,R,Governor
Sandusky,Bob Taft,12187,,R,Governor
Scioto,Bob Taft,12161,,R,Governor
Seneca,Bob Taft,11101,,R,Governor
Shelby,Bob Taft,10190,,R,Governor
Stark,Bob Taft,64932,,R,Governor
Summit,Bob Taft,75340,,R,Governor
Trumbull,Bob Taft,33718,,R,Governor
Tuscarawas,Bob Taft,13457,,R,Governor
Union,Bob Taft,8631,,R,Governor
Van Wert,Bob Taft,6561,,R,Governor
Vinton,Bob Taft,2135,,R,Governor
Warren,Bob Taft,37388,,R,Governor
Washington,Bob Taft,11499,,R,Governor
Wayne,Bob Taft,20340,,R,Governor
Williams,Bob Taft,7731,,R,Governor
Wood,Bob Taft,25172,,R,Governor
Wyandot,Bob Taft,4383,,R,Governor
Adams,James Whitman,0,,WI,Governor
Allen,James Whitman,2,,WI,Governor
Ashland,James Whitman,7,,WI,Governor
Ashtabula,James Whitman,1,,WI,Governor
Athens,James Whitman,1,,WI,Governor
Auglaize,James Whitman,3,,WI,Governor
Belmont,James Whitman,0,,WI,Governor
Brown,James Whitman,0,,WI,Governor
Butler,James Whitman,2,,WI,Governor
Carroll,James Whitman,1,,WI,Governor
Champaign,James Whitman,0,,WI,Governor
Clark,James Whitman,4,,WI,Governor
Clermont,James Whitman,5,,WI,Governor
Clinton,James Whitman,0,,WI,Governor
Columbiana,James Whitman,4,,WI,Governor
Coshocton,James Whitman,0,,WI,Governor
Crawford,James Whitman,1,,WI,Governor
Cuyahoga,James Whitman,9,,WI,Governor
Darke,James Whitman,1,,WI,Governor
Defiance,James Whitman,0,,WI,Governor
Delaware,James Whitman,2,,WI,Governor
Erie,James Whitman,4,,WI,Governor
Fairfield,James Whitman,2,,WI,Governor
Fayette,James Whitman,0,,WI,Governor
Franklin,James Whitman,44,,WI,Governor
Fulton,James Whitman,1,,WI,Governor
Gallia,James Whitman,0,,WI,Governor
Geauga,James Whitman,9,,WI,Governor
Greene,James Whitman,4,,WI,Governor
Guernsey,James Whitman,0,,WI,Governor
Hamilton,James Whitman,3,,WI,Governor
Hancock,James Whitman,4,,WI,Governor
Hardin,James Whitman,2,,WI,Governor
Harrison,James Whitman,1,,WI,Governor
Henry,James Whitman,0,,WI,Governor
Highland,James Whitman,0,,WI,Governor
Hocking,James Whitman,1,,WI,Governor
Holmes,James Whitman,0,,WI,Governor
Huron,James Whitman,0,,WI,Governor
Jackson,James Whitman,1,,WI,Governor
Jefferson,James Whitman,1,,WI,Governor
Knox,James Whitman,0,,WI,Governor
Lake,James Whitman,5,,WI,Governor
Lawrence,James Whitman,0,,WI,Governor
Licking,James Whitman,7,,WI,Governor
Logan,James Whitman,4,,WI,Governor
Lorain,James Whitman,2,,WI,Governor
Lucas,James Whitman,2,,WI,Governor
Madison,James Whitman,0,,WI,Governor
Mahoning,James Whitman,62,,WI,Governor
Marion,James Whitman,0,,WI,Governor
Medina,James Whitman,0,,WI,Governor
Meigs,James Whitman,0,,WI,Governor
Mercer,James Whitman,1,,WI,Governor
Miami,James Whitman,11,,WI,Governor
Monroe,James Whitman,0,,WI,Governor
Montgomery,James Whitman,18,,WI,Governor
Morgan,James Whitman,0,,WI,Governor
Morrow,James Whitman,0,,WI,Governor
Muskingum,James Whitman,2,,WI,Governor
Noble,James Whitman,0,,WI,Governor
Ottawa,James Whitman,1,,WI,Governor
Paulding,James Whitman,0,,WI,Governor
Perry,James Whitman,0,,WI,Governor
Pickaway,James Whitman,0,,WI,Governor
Pike,James Whitman,0,,WI,Governor
Portage,James Whitman,2,,WI,Governor
Preble,James Whitman,2,,WI,Governor
Putnam,James Whitman,1,,WI,Governor
Richland,James Whitman,1,,WI,Governor
Ross,James Whitman,0,,WI,Governor
Sandusky,James Whitman,0,,WI,Governor
Scioto,James Whitman,0,,WI,Governor
Seneca,James Whitman,0,,WI,Governor
Shelby,James Whitman,18,,WI,Governor
Stark,James Whitman,2,,WI,Governor
Summit,James Whitman,13,,WI,Governor
Trumbull,James Whitman,1,,WI,Governor
Tuscarawas,James Whitman,1,,WI,Governor
Union,James Whitman,2,,WI,Governor
Van Wert,James Whitman,1,,WI,Governor
Vinton,James Whitman,0,,WI,Governor
Warren,James Whitman,2,,WI,Governor
Washington,James Whitman,2,,WI,Governor
Wayne,James Whitman,0,,WI,Governor
Williams,James Whitman,2,,WI,Governor
Wood,James Whitman,4,,WI,Governor
Wyandot,James Whitman,2,,WI,Governor
Adams,Leigh Herington,2139,,D,Attorney General
Allen,Leigh Herington,8070,,D,Attorney General
Ashland,Leigh Herington,4056,,D,Attorney General
Ashtabula,Leigh Herington,10731,,D,Attorney General
Athens,Leigh Herington,7964,,D,Attorney General
Auglaize,Leigh Herington,3086,,D,Attorney General
Belmont,Leigh Herington,10382,,D,Attorney General
Brown,Leigh Herington,3607,,D,Attorney General
Butler,Leigh Herington,23240,,D,Attorney General
Carroll,Leigh Herington,3080,,D,Attorney General
Champaign,Leigh Herington,2805,,D,Attorney General
Clark,Leigh Herington,13480,,D,Attorney General
Clermont,Leigh Herington,10823,,D,Attorney General
Clinton,Leigh Herington,2456,,D,Attorney General
Columbiana,Leigh Herington,11360,,D,Attorney General
Coshocton,Leigh Herington,3343,,D,Attorney General
Crawford,Leigh Herington,3755,,D,Attorney General
Cuyahoga,Leigh Herington,167782,,D,Attorney General
Darke,Leigh Herington,4093,,D,Attorney General
Defiance,Leigh Herington,3485,,D,Attorney General
Delaware,Leigh Herington,8316,,D,Attorney General
Erie,Leigh Herington,9671,,D,Attorney General
Fairfield,Leigh Herington,9346,,D,Attorney General
Fayette,Leigh Herington,1528,,D,Attorney General
Franklin,Leigh Herington,98721,,D,Attorney General
Fulton,Leigh Herington,3020,,D,Attorney General
Gallia,Leigh Herington,3059,,D,Attorney General
Geauga,Leigh Herington,8382,,D,Attorney General
Greene,Leigh Herington,11517,,D,Attorney General
Guernsey,Leigh Herington,3756,,D,Attorney General
Hamilton,Leigh Herington,84064,,D,Attorney General
Hancock,Leigh Herington,4111,,D,Attorney General
Hardin,Leigh Herington,2585,,D,Attorney General
Harrison,Leigh Herington,2517,,D,Attorney General
Henry,Leigh Herington,2051,,D,Attorney General
Highland,Leigh Herington,3093,,D,Attorney General
Hocking,Leigh Herington,2823,,D,Attorney General
Holmes,Leigh Herington,1279,,D,Attorney General
Huron,Leigh Herington,4349,,D,Attorney General
Jackson,Leigh Herington,2961,,D,Attorney General
Jefferson,Leigh Herington,11063,,D,Attorney General
Knox,Leigh Herington,3644,,D,Attorney General
Lake,Leigh Herington,20073,,D,Attorney General
Lawrence,Leigh Herington,6324,,D,Attorney General
Licking,Leigh Herington,12758,,D,Attorney General
Logan,Leigh Herington,2870,,D,Attorney General
Lorain,Leigh Herington,30303,,D,Attorney General
Lucas,Leigh Herington,45262,,D,Attorney General
Madison,Leigh Herington,2379,,D,Attorney General
Mahoning,Leigh Herington,33300,,D,Attorney General
Marion,Leigh Herington,5309,,D,Attorney General
Medina,Leigh Herington,13282,,D,Attorney General
Meigs,Leigh Herington,2227,,D,Attorney General
Mercer,Leigh Herington,3375,,D,Attorney General
Miami,Leigh Herington,7437,,D,Attorney General
Monroe,Leigh Herington,2600,,D,Attorney General
Montgomery,Leigh Herington,56073,,D,Attorney General
Morgan,Leigh Herington,1333,,D,Attorney General
Morrow,Leigh Herington,2675,,D,Attorney General
Muskingum,Leigh Herington,6523,,D,Attorney General
Noble,Leigh Herington,1550,,D,Attorney General
Ottawa,Leigh Herington,4927,,D,Attorney General
Paulding,Leigh Herington,2260,,D,Attorney General
Perry,Leigh Herington,3311,,D,Attorney General
Pickaway,Leigh Herington,3111,,D,Attorney General
Pike,Leigh Herington,3580,,D,Attorney General
Portage,Leigh Herington,22031,,D,Attorney General
Preble,Leigh Herington,3026,,D,Attorney General
Putnam,Leigh Herington,2872,,D,Attorney General
Richland,Leigh Herington,12508,,D,Attorney General
Ross,Leigh Herington,6009,,D,Attorney General
Sandusky,Leigh Herington,5732,,D,Attorney General
Scioto,Leigh Herington,9608,,D,Attorney General
Seneca,Leigh Herington,4592,,D,Attorney General
Shelby,Leigh Herington,3793,,D,Attorney General
Stark,Leigh Herington,42705,,D,Attorney General
Summit,Leigh Herington,69049,,D,Attorney General
Trumbull,Leigh Herington,30302,,D,Attorney General
Tuscarawas,Leigh Herington,9603,,D,Attorney General
Union,Leigh Herington,2545,,D,Attorney General
Van Wert,Leigh Herington,2380,,D,Attorney General
Vinton,Leigh Herington,1393,,D,Attorney General
Warren,Leigh Herington,10273,,D,Attorney General
Washington,Leigh Herington,6544,,D,Attorney General
Wayne,Leigh Herington,8396,,D,Attorney General
Williams,Leigh Herington,2992,,D,Attorney General
Wood,Leigh Herington,11063,,D,Attorney General
Wyandot,Leigh Herington,1467,,D,Attorney General
Adams,Jim Petro,4562,,R,Attorney General
Allen,Jim Petro,21330,,R,Attorney General
Ashland,Jim Petro,10726,,R,Attorney General
Ashtabula,Jim Petro,15850,,R,Attorney General
Athens,Jim Petro,7880,,R,Attorney General
Auglaize,Jim Petro,10186,,R,Attorney General
Belmont,Jim Petro,9698,,R,Attorney General
Brown,Jim Petro,7583,,R,Attorney General
Butler,Jim Petro,61322,,R,Attorney General
Carroll,Jim Petro,5454,,R,Attorney General
Champaign,Jim Petro,7724,,R,Attorney General
Clark,Jim Petro,24495,,R,Attorney General
Clermont,Jim Petro,31132,,R,Attorney General
Clinton,Jim Petro,7724,,R,Attorney General
Columbiana,Jim Petro,18805,,R,Attorney General
Coshocton,Jim Petro,6750,,R,Attorney General
Crawford,Jim Petro,9273,,R,Attorney General
Cuyahoga,Jim Petro,193774,,R,Attorney General
Darke,Jim Petro,12998,,R,Attorney General
Defiance,Jim Petro,7068,,R,Attorney General
Delaware,Jim Petro,30447,,R,Attorney General
Erie,Jim Petro,14598,,R,Attorney General
Fairfield,Jim Petro,29125,,R,Attorney General
Fayette,Jim Petro,4924,,R,Attorney General
Franklin,Jim Petro,172230,,R,Attorney General
Fulton,Jim Petro,9719,,R,Attorney General
Gallia,Jim Petro,5862,,R,Attorney General
Geauga,Jim Petro,22563,,R,Attorney General
Greene,Jim Petro,30696,,R,Attorney General
Guernsey,Jim Petro,6875,,R,Attorney General
Hamilton,Jim Petro,152681,,R,Attorney General
Hancock,Jim Petro,16126,,R,Attorney General
Hardin,Jim Petro,5586,,R,Attorney General
Harrison,Jim Petro,3050,,R,Attorney General
Henry,Jim Petro,6903,,R,Attorney General
Highland,Jim Petro,7772,,R,Attorney General
Hocking,Jim Petro,4644,,R,Attorney General
Holmes,Jim Petro,4680,,R,Attorney General
Huron,Jim Petro,10425,,R,Attorney General
Jackson,Jim Petro,5696,,R,Attorney General
Jefferson,Jim Petro,11507,,R,Attorney General
Knox,Jim Petro,10339,,R,Attorney General
Lake,Jim Petro,42253,,R,Attorney General
Lawrence,Jim Petro,8676,,R,Attorney General
Licking,Jim Petro,33756,,R,Attorney General
Logan,Jim Petro,9572,,R,Attorney General
Lorain,Jim Petro,45481,,R,Attorney General
Lucas,Jim Petro,73309,,R,Attorney General
Madison,Jim Petro,8016,,R,Attorney General
Mahoning,Jim Petro,47090,,R,Attorney General
Marion,Jim Petro,11810,,R,Attorney General
Medina,Jim Petro,32166,,R,Attorney General
Meigs,Jim Petro,4343,,R,Attorney General
Mercer,Jim Petro,10899,,R,Attorney General
Miami,Jim Petro,21925,,R,Attorney General
Monroe,Jim Petro,2264,,R,Attorney General
Montgomery,Jim Petro,101186,,R,Attorney General
Morgan,Jim Petro,3192,,R,Attorney General
Morrow,Jim Petro,6784,,R,Attorney General
Muskingum,Jim Petro,15620,,R,Attorney General
Noble,Jim Petro,2604,,R,Attorney General
Ottawa,Jim Petro,9809,,R,Attorney General
Paulding,Jim Petro,3784,,R,Attorney General
Perry,Jim Petro,5590,,R,Attorney General
Pickaway,Jim Petro,8566,,R,Attorney General
Pike,Jim Petro,3987,,R,Attorney General
Portage,Jim Petro,18875,,R,Attorney General
Preble,Jim Petro,8327,,R,Attorney General
Putnam,Jim Petro,9072,,R,Attorney General
Richland,Jim Petro,23790,,R,Attorney General
Ross,Jim Petro,11611,,R,Attorney General
Sandusky,Jim Petro,12954,,R,Attorney General
Scioto,Jim Petro,11829,,R,Attorney General
Seneca,Jim Petro,11833,,R,Attorney General
Shelby,Jim Petro,10455,,R,Attorney General
Stark,Jim Petro,68802,,R,Attorney General
Summit,Jim Petro,85609,,R,Attorney General
Trumbull,Jim Petro,38914,,R,Attorney General
Tuscarawas,Jim Petro,14856,,R,Attorney General
Union,Jim Petro,9416,,R,Attorney General
Van Wert,Jim Petro,6536,,R,Attorney General
Vinton,Jim Petro,2249,,R,Attorney General
Warren,Jim Petro,38074,,R,Attorney General
Washington,Jim Petro,11126,,R,Attorney General
Wayne,Jim Petro,21186,,R,Attorney General
Williams,Jim Petro,7859,,R,Attorney General
Wood,Jim Petro,25820,,R,Attorney General
Wyandot,Jim Petro,4754,,R,Attorney General
Adams,Betty Montgomery,4518,,R,Auditor of State
Allen,Betty Montgomery,21767,,R,Auditor of State
Ashland,Betty Montgomery,10560,,R,Auditor of State
